entry_id,kanji,kana,meaning,part_of_speech,jlpt_level,example_sentence,example_reading,example_chinese,tags,notes,enriched_by,confidence
V0026,,ようじん,注意⼩⼼,other,N4,ようじんについて勉強しています。,ようじんについてべんきょうしています。,我正在學習關於注意⼩⼼的內容。,N4|other,,teacher_agent,0.79
V0027,納得,なっとく,⼼裡接受、⼼服⼝,noun,N4,この結果には 納得できない。,この結果には 納得できない。,⼼裡接受、⼼服⼝,N4|noun,服、同意 滿意」 → この結果には 納得できない。 きた。,teacher_agent,0.91
V0028,友情,ゆうじょう,友情,noun,N4,友情について勉強しています。,ゆうじょうについてべんきょうしています。,我正在學習關於友情的內容。,N4|noun,,teacher_agent,0.86
V0029,仲間,なかま,夥伴,noun,N4,仲間について勉強しています。,なかまについてべんきょうしています。,我正在學習關於夥伴的內容。,N4|noun,,teacher_agent,0.86
V0030,知り合い,しりあい,相識,i_adjective,N4,今日は知り合い。,きょうはしりあい。,今天很相識。,N4|i_adjective,,teacher_agent,0.86
V0031,出会い,であい,相遇,i_adjective,N4,今日は出会い。,きょうはであい。,今天很相遇。,N4|i_adjective,,teacher_agent,0.79
V0032,他⼈,たにん,別⼈,noun,N4,他⼈について勉強しています。,たにんについてべんきょうしています。,我正在學習關於別⼈的內容。,N4|noun,,teacher_agent,0.79
V0033,本⼈,ほんにん,本⼈,noun,N4,本⼈について勉強しています。,ほんにんについてべんきょうしています。,我正在學習關於本⼈的內容。,N4|noun,,teacher_agent,0.79
V0034,⽬上,めうえ,⻑輩、上司,noun,N4,⽬上について勉強しています。,めうえについてべんきょうしています。,我正在學習關於⻑輩的內容。,N4|noun,,teacher_agent,0.79
V0035,⾼級,こうきゅう,⾼級，程度、⽔平⾼ 呼吸（こきゅう）,noun,N4,⾼級について勉強しています。,こうきゅうについてべんきょうしています。,我正在學習關於⾼級，程度的內容。,N4|noun,,teacher_agent,0.79
V0036,上位,じょうい,等級⾼,noun,N4,上位について勉強しています。,じょういについてべんきょうしています。,我正在學習關於等級⾼的內容。,N4|noun,,teacher_agent,0.79
V0037,優秀,ゆうしゅう,優秀的,noun,N2,優秀について勉強しています。,ゆうしゅうについてべんきょうしています。,我正在學習關於優秀的的內容。,N2|noun,,teacher_agent,0.83
V0038,犯⼈,はんにん,犯⼈,noun,N4,犯⼈について勉強しています。,はんにんについてべんきょうしています。,我正在學習關於犯⼈的內容。,N4|noun,,teacher_agent,0.79
V0039,被害,ひがい,損失,noun,N2,被害について勉強しています。,ひがいについてべんきょうしています。,我正在學習關於損失的內容。,N2|noun,,teacher_agent,0.83
V0040,相⼿,あいて,對象,noun,N4,相⼿について勉強しています。,あいてについてべんきょうしています。,我正在學習關於對象的內容。,N4|noun,,teacher_agent,0.79
V0041,役割,やくわり,任務,noun,N2,役割について勉強しています。,やくわりについてべんきょうしています。,我正在學習關於任務的內容。,N2|noun,,teacher_agent,0.83
V0042,素⼈,しろうと,外⾏⼈,noun,N4,素⼈について勉強しています。,しろうとについてべんきょうしています。,我正在學習關於外⾏⼈的內容。,N4|noun,,teacher_agent,0.79
V0043,代わり,かわり,代替,noun,N4,代わりについて勉強しています。,かわりについてべんきょうしています。,我正在學習關於代替的內容。,N4|noun,,teacher_agent,0.79
V0044,戦う,たたかう,競賽、⽐賽,noun,N4,戦うについて勉強しています。,たたかうについてべんきょうしています。,我正在學習關於競賽的內容。,N4|noun,,teacher_agent,0.79
V0045,必ずしも,かならずしも,「不⼀定 ... 」、「未,noun,N3,必 ... 」通常後接否定 お⾦持ちがかならずし も幸せとは限らない。,必 ... 」通常後接否定 お⾦持ちがかならずし も幸せとは限らない。,「不⼀定 ... 」、「未,N3|noun,必 ... 」通常後接否定 お⾦持ちがかならずし も幸せとは限らない。 福。,teacher_agent,0.89
V0046,⾮常に,ひじょうに,程度副詞，表⽰「⾮,noun,N4,常」、「極其」。,常」、「極其」。,程度副詞，表⽰「⾮,N4|noun,常」、「極其」。 この問題は⾮常に難し い。 →  這個問題⾮常 難。 あまりにも あまりにも 表⽰程度「太過 於 ... 」、「過分地 ... 」 通常帶有負⾯或驚訝 的語氣 あまりにも⾼くて買え ない。 →  太貴了，買不 起,teacher_agent,0.83
V0047,果たす,はたす,完成、實現,noun,N4,果たすについて勉強しています。,はたすについてべんきょうしています。,我正在學習關於完成的內容。,N4|noun,,teacher_agent,0.79
V0048,,つとめる,務める,verb,N4,2. 勤める 3. 努める 1. 「擔任（某職 務）」、「扮演（⾓ ⾊）」 個特定的任務或⾓ ⾊。,2. 勤める 3. 努める 1. 「擔任（某職 務）」、「扮演（⾓ ⾊）」 個特定的任務或⾓ ⾊。,務める,N4|verb,2. 勤める 3. 努める 1. 「擔任（某職 務）」、「扮演（⾓ ⾊）」 個特定的任務或⾓ ⾊。 2. 「⼯作」、「任職」 1. 司会を務める 2. 会社に務めます 3. 解決に努める 織或地點上班。 3. 「努⼒」、「盡⼒」 ⽬標⽽刻意付出⼼⼒ （盡量做到 ... ）。,teacher_agent,0.83
V0049,担う,になう,承擔、負責,noun,N4,担うについて勉強しています。,になうについてべんきょうしています。,我正在學習關於承擔的內容。,N4|noun,,teacher_agent,0.79
V0050,任せる,まかせる,聽任、委託,verb,N4,私は毎日任せる。,わたしはまいにちまかせる。,我每天聽任。,N4|verb,,teacher_agent,0.79
V0051,話し合い,はなしあい,討論、協商、商量、,i_adjective,N2,今日は話し合い。,きょうははなしあい。,今天很討論。,N2|i_adjective,對話、溝通,teacher_agent,0.8
V0052,個⼈,こじん,個⼈,noun,N4,個⼈について勉強しています。,こじんについてべんきょうしています。,我正在學習關於個⼈的內容。,N4|noun,,teacher_agent,0.79
V0053,皆,みな,⼤家,noun,N4,皆について勉強しています。,みなについてべんきょうしています。,我正在學習關於⼤家的內容。,N4|noun,,teacher_agent,0.79
V0054,登場,とうじょう,出場,noun,N4,登場について勉強しています。,とうじょうについてべんきょうしています。,我正在學習關於出場的內容。,N4|noun,,teacher_agent,0.79
V0055,発⽣,はっせい,發⽣,noun,N4,発⽣について勉強しています。,はっせいについてべんきょうしています。,我正在學習關於發⽣的內容。,N4|noun,,teacher_agent,0.79
V0056,外出,がいしゅつ,外出,noun,N4,外出について勉強しています。,がいしゅつについてべんきょうしています。,我正在學習關於外出的內容。,N4|noun,,teacher_agent,0.79
V0057,,にゅうもん,⼊⾨,other,N4,にゅうもんについて勉強しています。,にゅうもんについてべんきょうしています。,我正在學習關於⼊⾨的內容。,N4|other,,teacher_agent,0.79
V0058,孫,まご,孫⼦,noun,N4,孫について勉強しています。,まごについてべんきょうしています。,我正在學習關於孫⼦的內容。,N4|noun,,teacher_agent,0.79
V0059,夫婦,ふうふ,夫婦 (ふうふう  ),noun,N4,夫婦について勉強しています。,ふうふについてべんきょうしています。,我正在學習關於夫婦 (ふうふう  )的內容。,N4|noun,かない 家内 しんせき 親戚,teacher_agent,0.79
V0060,係,かかり,負責的⼈,noun,N4,係について勉強しています。,かかりについてべんきょうしています。,我正在學習關於負責的⼈的內容。,N4|noun,,teacher_agent,0.79
V0061,児童,じどう,兒童,noun,N4,児童について勉強しています。,じどうについてべんきょうしています。,我正在學習關於兒童的內容。,N4|noun,,teacher_agent,0.79
V0062,に限らず,にかぎらず,不只〜、不僅限於,noun,N2,〜、不限於〜 らず、中華料理も好き です。,〜、不限於〜 らず、中華料理も好き です。,不只〜、不僅限於,N2|noun,〜、不限於〜 らず、中華料理も好き です。 限る  (Kagiru)：限制。 限らず  (Kagirazu)：不 限制（「ず」是古語的否 定，相當於「ない」）。,teacher_agent,0.85
V0063,,なしには,如果沒有 ... 則 …,other,N4,なしにはについて勉強しています。,なしにはについてべんきょうしています。,我正在學習關於如果沒有 ... 則 …的內容。,N4|other,,teacher_agent,0.79
V0064,,のおかげで,拖 ... 的福,other,N4,のおかげでについて勉強しています。,のおかげでについてべんきょうしています。,我正在學習關於拖 ... 的福的內容。,N4|other,,teacher_agent,0.79
V0065,,というより,與其說 …. 不如說,other,N4,というよりについて勉強しています。,というよりについてべんきょうしています。,我正在學習關於與其說 …. 不如說的內容。,N4|other,,teacher_agent,0.79
V0066,主に,おもに,主要、⼤部分,noun,N4,主にについて勉強しています。,おもにについてべんきょうしています。,我正在學習關於主要的內容。,N4|noun,,teacher_agent,0.79
V0067,地元,じもと,當地、本地,noun,N4,地元について勉強しています。,じもとについてべんきょうしています。,我正在學習關於當地的內容。,N4|noun,,teacher_agent,0.79
V0068,根源,こんげん,根源,noun,N4,根源について勉強しています。,こんげんについてべんきょうしています。,我正在學習關於根源的內容。,N4|noun,,teacher_agent,0.79
V0069,⼟台,どだい,地基、基礎、本來、,noun,N4,⼟台について勉強しています。,どだいについてべんきょうしています。,我正在學習關於地基的內容。,N4|noun,原來,teacher_agent,0.79
V0070,⽴場,たちば,⽴⾜地、處境、地,noun,N4,⽴場について勉強しています。,たちばについてべんきょうしています。,我正在學習關於⽴⾜地的內容。,N4|noun,位、⽴場、觀點,teacher_agent,0.79
V0071,,ふるさと,故鄉、家鄉,other,N4,ふるさとに帰るのは嬉 しい。,ふるさとに帰るのは嬉 しい。,故鄉、家鄉,N4|other,ふるさとに帰るのは嬉 しい。 →  回到故鄉真開 ⼼。,teacher_agent,0.83
V0072,農業,のうぎょう,農業,noun,N4,進んでいる。,進んでいる。,農業,N4|noun,進んでいる。 →  ⽇本的 農業⼈⼝⽼化嚴重。,teacher_agent,0.83
V0073,漁業,ぎょぎょう,漁業,noun,N4,海道では漁業が盛ん だ。,海道では漁業が盛ん だ。,漁業,N4|noun,海道では漁業が盛ん だ。 →  北海道漁業很興 旺。,teacher_agent,0.83
V0074,盛ん,さかん,興盛、盛⾏、活躍,noun,N4,この地域では観光業が 盛んだ。,この地域では観光業が 盛んだ。,興盛、盛⾏、活躍,N4|noun,この地域では観光業が 盛んだ。 →  這個地區觀 光業很興盛。,teacher_agent,0.83
V0075,熱⼼に,ねっしいんに,熱⼼地、專⼼地 彼は勉強に熱⼼だ。 →,noun,N4,熱⼼にについて勉強しています。,ねっしいんにについてべんきょうしています。,我正在學習關於熱⼼地的內容。,N4|noun,他學習很⽤⼼。,teacher_agent,0.79
V0076,平⽇,へいじつ,平⽇（上班⽇、⼯作,noun,N4,平⽇について勉強しています。,へいじつについてべんきょうしています。,我正在學習關於平⽇（上班⽇的內容。,N4|noun,,teacher_agent,0.79
V0077,祝⽇,しゅくじつ,國定假⽇、節⽇,noun,N4,祝⽇について勉強しています。,しゅくじつについてべんきょうしています。,我正在學習關於國定假⽇的內容。,N4|noun,,teacher_agent,0.79
V0078,休⽇,きゅうじつ,休息⽇、假⽇,noun,N4,休⽇について勉強しています。,きゅうじつについてべんきょうしています。,我正在學習關於休息⽇的內容。,N4|noun,,teacher_agent,0.79
V0079,近所,きんじょ,附近、鄰近,noun,N4,近所について勉強しています。,きんじょについてべんきょうしています。,我正在學習關於附近的內容。,N4|noun,,teacher_agent,0.79
V0080,棚,たな,架⼦、層板,noun,N4,棚について勉強しています。,たなについてべんきょうしています。,我正在學習關於架⼦的內容。,N4|noun,,teacher_agent,0.79
V0081,引き出し,ひきだし,抽屜,noun,N2,引き出しについて勉強しています。,ひきだしについてべんきょうしています。,我正在學習關於抽屜的內容。,N2|noun,,teacher_agent,0.8
V0082,,ズボン,褲⼦,noun,N5,ズボンについて勉強しています。,ズボンについてべんきょうしています。,我正在學習關於褲⼦的內容。,N5|noun|外来語,ズボンをはきます →は きます（履きます）： 穿（下半⾝⽤）,teacher_agent,0.88
V0083,,セーター,⽑⾐、針織衫 sweater,noun,N3,セーターについて勉強しています。,セーターについてべんきょうしています。,我正在學習關於⽑⾐的內容。,N3|noun|外来語,,teacher_agent,0.82
V0084,,おとなしい,⽼實、聽話，溫順，,i_adjective,N4,今日はおとなしい。,きょうはおとなしい。,今天很⽼實。,N4|i_adjective,安靜,teacher_agent,0.79
V0085,騒がしい,さわがしい,吵鬧,i_adjective,N2,教室が騒がしいので、 先⽣は怒った。,教室が騒がしいので、 先⽣は怒った。,吵鬧,N2|i_adjective,教室が騒がしいので、 先⽣は怒った。 → 教室 裡太吵鬧了，所以⽼師 ⽣氣了。 最近は物騒（ぶっそ う）な事件（じけん） が多く、世の中が騒が,teacher_agent,0.85
V0086,,しい,最近危險的事件,i_adjective,N5,很多，社會上動盪不安 聲⾳上的吵雜：形容周 遭環境有很多⼈在說 話、發出噪⾳，聲⾳⼤ 到讓⼈覺得不舒服或靜 不下⼼。,很多，社會上動盪不安 聲⾳上的吵雜：形容周 遭環境有很多⼈在說 話、發出噪⾳，聲⾳⼤ 到讓⼈覺得不舒服或靜 不下⼼。,最近危險的事件,N5|i_adjective,很多，社會上動盪不安 聲⾳上的吵雜：形容周 遭環境有很多⼈在說 話、發出噪⾳，聲⾳⼤ 到讓⼈覺得不舒服或靜 不下⼼。 社會或局勢的不安寧 （抽象）：形容社會政局 動盪、世道混亂，或者 某個事件鬧得沸沸揚 揚、⼈⼼惶惶。 うるさい：主觀感受強 烈。通常是你個⼈覺得 「很煩、很刺⽿、快閉 嘴」，針對性較強（例 如：電視聲⾳太⼤、別 ⼈在⽿邊碎念）。 騒がしい：客觀描述環 境。單純形容⼀個地⽅ 「聲⾳很多、很熱鬧、 很嘈雜」，不⼀定帶有極 度厭惡的私⼈情緒。,teacher_agent,0.92
V0087,迷惑,めいわく,煩擾的 ご迷惑（めいわく）を,noun,N2,おかけして、本当に申 し訳ありません。,おかけして、本当に申 し訳ありません。,煩擾的 ご迷惑（めいわく）を,N2|noun,おかけして、本当に申 し訳ありません。 → 給 您增添了許多⿇煩，真 的⾮常抱歉。 形容詞⽤法（迷惑な 〜）：形容某個⾏為或⼈ 「很令⼈困擾、很討 厭」。 動詞⽤法（迷惑する）： 夜中（よなか）に⼤⾳ 量（だいおんりょう） で⾳楽を聴くのは、迷 惑な⾏為（こうい） だ。 → 半夜⽤⼤⾳量聽 ⾳樂，是⾮常令⼈困擾 的⾏為 隣の席の⼈のタバコの 煙（けむり）に、とて も迷惑している。 → 隔 壁座位的香菸煙霧，讓 我感到⾮常困擾。 表⽰⾃⼰「感到很困 擾、受其害」。 慣⽤語（迷惑をかけ る）：最常⽤的組合！ 意思是「給別⼈添⿇ 煩」。,teacher_agent,0.88
V0088,夢中に,むちゅう,⼊迷的,noun,N4,最近、新しいゲームに 夢中になっている。,最近、新しいゲームに 夢中になっている。,⼊迷的,N4|noun,最近、新しいゲームに 夢中になっている。 → 最近，我正瘋狂沉迷於 ⼀款新遊戲。 彼は彼⼥に夢中だ。 → 他對她神魂顛倒  / 他被 她迷得團團轉。 ⼦どもの頃（ころ）、 時間を忘れて夢中で遊 んだ。 → ⼩時候，總是 忘記時間、玩得不亦樂 乎。 三種： 〜に夢中になる：陷 ⼊ … 的狀態、變得對 … 很著迷（最常⽤！）。 〜に夢中だ  / 夢中にな っている：正熱衷 於 … 、正對 … 沉迷。 夢中で〜する：拼命 地、忘我地去做某件 事。,teacher_agent,0.83
V0089,平気（な）,へいき,若無其事的、不算甚,na_adjective,N2,この辺りは平気（な）です。,このへんりはへいきです。,這一帶很若無其事的。,N2|na_adjective,麼、不介意,teacher_agent,0.8
V0090,派⼿（な）,はで,華麗的,na_adjective,N2,この辺りは派⼿（な）です。,このへんりははでです。,這一帶很華麗的。,N2|na_adjective,,teacher_agent,0.8
V0091,地味（な）,じみ,樸素的,na_adjective,N2,この辺りは地味（な）です。,このへんりはじみです。,這一帶很樸素的。,N2|na_adjective,,teacher_agent,0.8
V0092,素敵（な）,すてき,極好的,na_adjective,N4,はじめに ー 在⼀開始∕⾸先 (多 ⽤在說明流程、演 講、⽂章開頭，很有 「順序感」 旅⾏のはじめに、パス ポートを確認してくだ さい。,はじめに ー 在⼀開始∕⾸先 (多 ⽤在說明流程、演 講、⽂章開頭，很有 「順序感」 旅⾏のはじめに、パス ポートを確認してくだ さい。,極好的,N4|na_adjective,はじめに ー 在⼀開始∕⾸先 (多 ⽤在說明流程、演 講、⽂章開頭，很有 「順序感」 旅⾏のはじめに、パス ポートを確認してくだ さい。 たびに ー 每次〜就〜  (前項⼀ 發⽣，後項就⼀定發 ⽣（幾乎沒有例外） ) この曲を聞くたびに、 学⽣時代を思い出しま す。 彼は失敗するたびに、 成⻑しています。 だけに ー 正因為是〜所以〜 (原因很「充分、合 理」，所以結果也很 強烈 真⾯⽬に勉強しただけ に、試験は簡単だっ た。,teacher_agent,0.91
V0093,不満,ふまん,不滿,noun,N4,不満について勉強しています。,ふまんについてべんきょうしています。,我正在學習關於不滿的內容。,N4|noun,,teacher_agent,0.79
V0094,不幸,ふこう,不幸,noun,N4,不幸について勉強しています。,ふこうについてべんきょうしています。,我正在學習關於不幸的內容。,N4|noun,,teacher_agent,0.79
V0095,不安,ふあん,不安,noun,N4,不安について勉強しています。,ふあんについてべんきょうしています。,我正在學習關於不安的內容。,N4|noun,,teacher_agent,0.79
V0096,痛み,いたみ,疼,noun,N4,痛みについて勉強しています。,いたみについてべんきょうしています。,我正在學習關於疼的內容。,N4|noun,,teacher_agent,0.69
V0097,好き嫌い,すききらい,喜好 / 愛惡 挑⾷ / 挑,i_adjective,N2,今日は好き嫌い。,きょうはすききらい。,今天很喜好 / 愛惡 挑⾷ / 挑。,N2|i_adjective,剔,teacher_agent,0.8
V0098,好み,このみ,喜好,noun,N4,好みについて勉強しています。,このみについてべんきょうしています。,我正在學習關於喜好的內容。,N4|noun,,teacher_agent,0.79
V0099,幸福,こうふく,幸福,noun,N4,幸福について勉強しています。,こうふくについてべんきょうしています。,我正在學習關於幸福的內容。,N4|noun,,teacher_agent,0.79
V0100,幸せ,しあわせ,幸福,noun,N4,幸せについて勉強しています。,しあわせについてべんきょうしています。,我正在學習關於幸福的內容。,N4|noun,,teacher_agent,0.79
V0101,気,き,⼼情,noun,N4,気について勉強しています。,きについてべんきょうしています。,我正在學習關於⼼情的內容。,N4|noun,,teacher_agent,0.79
V0102,関⼼,かんしん,關⼼,noun,N4,関⼼について勉強しています。,かんしんについてべんきょうしています。,我正在學習關於關⼼的內容。,N4|noun,,teacher_agent,0.79
V0103,感情,かんじょう,感情,noun,N4,感情について勉強しています。,かんじょうについてべんきょうしています。,我正在學習關於感情的內容。,N4|noun,,teacher_agent,0.79
V0104,感覚,かんかく,感覺,noun,N4,感覚について勉強しています。,かんかくについてべんきょうしています。,我正在學習關於感覺的內容。,N4|noun,,teacher_agent,0.79
V0105,愛情,あいじょう,愛,noun,N4,愛情について勉強しています。,あいじょうについてべんきょうしています。,我正在學習關於愛的內容。,N4|noun,,teacher_agent,0.69
V0106,喜び,よろこび,喜悅,noun,N4,喜びについて勉強しています。,よろこびについてべんきょうしています。,我正在學習關於喜悅的內容。,N4|noun,,teacher_agent,0.79
V0107,楽しみ,たのしみ,期待,noun,N4,楽しみについて勉強しています。,たのしみについてべんきょうしています。,我正在學習關於期待的內容。,N4|noun,,teacher_agent,0.79
V0108,積極的,せっきょくてき,具體的,na_adjective,N4,この辺りは積極的です。,このへんりはせっきょくてきです。,這一帶很具體的。,N4|na_adjective,,teacher_agent,0.79
V0109,具体的,ぐたいてき,積極的,na_adjective,N4,この辺りは具体的です。,このへんりはぐたいてきです。,這一帶很積極的。,N4|na_adjective,,teacher_agent,0.79
V0110,効果的,こうかてき,有效的、⽴竿⾒影的,na_adjective,N4,この辺りは効果的です。,このへんりはこうかてきです。,這一帶很有效的。,N4|na_adjective,,teacher_agent,0.79
V0111,感情的,かんじょうてき,感性的,na_adjective,N4,この辺りは感情的です。,このへんりはかんじょうてきです。,這一帶很感性的。,N4|na_adjective,,teacher_agent,0.79
V0112,,がっかり,失望；失落,other,N4,がっかりについて勉強しています。,がっかりについてべんきょうしています。,我正在學習關於失望；失落的內容。,N4|other,,teacher_agent,0.79
V0113,,どきどき,緊張；七上⼋下,other,N4,どきどきについて勉強しています。,どきどきについてべんきょうしています。,我正在學習關於緊張；七上⼋下的內容。,N4|other,,teacher_agent,0.79
V0114,,うっかり,疏忽、不注意、不留,other,N4,うっかりについて勉強しています。,うっかりについてべんきょうしています。,我正在學習關於疏忽的內容。,N4|other,神,teacher_agent,0.79
V0115,,はらはら,擔⼼、捏⼀把汗,other,N4,はらはらについて勉強しています。,はらはらについてべんきょうしています。,我正在學習關於擔⼼的內容。,N4|other,,teacher_agent,0.79
V0116,悩む,なやむ,煩惱,noun,N4,悩むについて勉強しています。,なやむについてべんきょうしています。,我正在學習關於煩惱的內容。,N4|noun,,teacher_agent,0.79
V0117,痛む,いたむ,痛,noun,N4,痛むについて勉強しています。,いたむについてべんきょうしています。,我正在學習關於痛的內容。,N4|noun,,teacher_agent,0.69
V0118,嫌う,きらう,討厭,noun,N4,嫌うについて勉強しています。,きらうについてべんきょうしています。,我正在學習關於討厭的內容。,N4|noun,,teacher_agent,0.79
V0119,苦しむ,くるしむ,受折磨,noun,N4,苦しむについて勉強しています。,くるしむについてべんきょうしています。,我正在學習關於受折磨的內容。,N4|noun,,teacher_agent,0.79
V0120,気付く,きづく,發現,noun,N4,気付くについて勉強しています。,きづくについてべんきょうしています。,我正在學習關於發現的內容。,N4|noun,,teacher_agent,0.79
V0121,感じる,かんじる,感覺,verb,N4,私は毎日感じる。,わたしはまいにちかんじる。,我每天感覺。,N4|verb,,teacher_agent,0.79
V0122,気に⼊る,きにいる,中意,verb,N2,私は毎日気に⼊る。,わたしはまいにちきにいる。,我每天中意。,N2|verb,,teacher_agent,0.8
V0123,喜ぶ,よろこぶ,⾼興,noun,N4,喜ぶについて勉強しています。,よろこぶについてべんきょうしています。,我正在學習關於⾼興的內容。,N4|noun,,teacher_agent,0.79
V0124,賢い,かしこい,聰明,i_adjective,N4,今日は賢い。,きょうはかしこい。,今天很聰明。,N4|i_adjective,,teacher_agent,0.79
V0125,偉い,えらい,偉⼤,i_adjective,N4,今日は偉い。,きょうはえらい。,今天很偉⼤。,N4|i_adjective,,teacher_agent,0.79
V0126,親しい,したしい,親密,i_adjective,N4,今日は親しい。,きょうはしたしい。,今天很親密。,N4|i_adjective,,teacher_agent,0.79
V0127,快適,かいてき,舒適的,noun,N4,快適について勉強しています。,かいてきについてべんきょうしています。,我正在學習關於舒適的的內容。,N4|noun,,teacher_agent,0.79
V0128,苦しい,くるしい,難受,i_adjective,N4,今日は苦しい。,きょうはくるしい。,今天很難受。,N4|i_adjective,,teacher_agent,0.79
V0129,恐ろしい,おそろしい,可怕,i_adjective,N2,今日は恐ろしい。,きょうはおそろしい。,今天很可怕。,N2|i_adjective,,teacher_agent,0.8
V0130,悔しい,くやしい,不⽢⼼,i_adjective,N4,今日は悔しい。,きょうはくやしい。,今天很不⽢⼼。,N4|i_adjective,,teacher_agent,0.79
V0131,,つらい,痛苦,i_adjective,N5,今日はつらい。,きょうはつらい。,今天很痛苦。,N5|i_adjective,,teacher_agent,0.88
V0132,驚く,おどろく,吃驚，驚奇,noun,N4,驚くについて勉強しています。,おどろくについてべんきょうしています。,我正在學習關於吃驚，驚奇的內容。,N4|noun,,teacher_agent,0.79
V0133,覚める,さめる,醒來、神智清醒,verb,N4,私は毎日覚める。,わたしはまいにちさめる。,我每天醒來。,N4|verb,到,teacher_agent,0.79
