entry_id,grammar_point,semantic_concept,connection_rule,meaning_zh,example_japanese,example_reading,example_chinese,jlpt_level,tags,notes,usage_when,usage_avoid,common_mistakes,review_issues,review_status,enriched_by,confidence
G0013,b知っています、知っていません( X ) → 知りません,"現時的狀態,用來說明自己的職業或學習中",習慣、職業 日 文 筆 記,"現時的狀態,用來說明自己的職業或學習中",休みの日は娘と買い物に行ったり、映画を見たりしています,休みの日は娘と買い物に行ったり、映画を見たりしています,"現時的狀態,用來說明自己的職業或學習中",N3,N3|文法,習慣、職業 日 文 筆 記,,,ています 👉  這個最接近英文完成式的概念,grammar_point 疑似誤拆（例句/說明文字）,excluded,pdf_extract,0.95
G0014,c日本語学校で教えています,c日本語学校で教えています,c日本語学校で教えています,c日本語学校で教えています,c日本語学校で教えていますを使います。,c日本語学校で教えていますを使います。,c日本語学校で教えています,N3,N3|文法|助詞,,,,ています 👉  這個最接近英文完成式的概念,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0015,てもいいですか,可以…嗎？（徵求許可）,Vて + もいいですか,可以…嗎？（徵求許可）,窓を閉めてもいいですか。,窓を閉めてもいいですか。,可以關窗嗎？,N4,N3|文法|助詞,「わかりました(明白)」「いいです(よ)(好的)」等句子,"禮貌徵求許可 | 這句型用來徵求許可。給予許可時,可以使用「どうぞ(請做)」 | 不可以  / 不能  / 不准  / 不要 | 這句型不只用於講述放假習慣做的事,亦可以用來講述過去發生的事情,今後的預定或希望等事情",禁止 → てはいけません；不必 → なくてもいい,與 てはいけません 成對學習 | 與 てはいけません 成對學習,,corrected,grammar_teacher_agent,0.95
G0016,V てはいけません,不可以  / 不能  / 不准  / 不要,N で /  い形容詞ーくて /  な形容詞で 動作的並列 V1 て V2 ます 日 文 筆 記,不可以  / 不能  / 不准  / 不要,写真を取ってもいいですか?写真を取ってはいけません,写真を取ってもいいですか?写真を取ってはいけません,不可以  / 不能  / 不准  / 不要,N3,N3|文法|助詞,"2 個以上名詞或形容詞並列 這句型不只用於講述放假習慣做的事,亦可以用來講述過去發生的事情,今後的預定或希望等事情","這句型用來徵求許可。給予許可時,可以使用「どうぞ(請做)」 | 不可以  / 不能  / 不准  / 不要 | 這句型不只用於講述放假習慣做的事,亦可以用來講述過去發生的事情,今後的預定或希望等事情",,,,passed,pdf_extract,0.95
G0017,てから,做完前者之後，再做後者（動作順序）,Vて + から、V,做完前者之後，再做後者（動作順序）,ご飯を食べてから、出かけます。,ご飯を食べてから、出かけます。,吃完飯之後出門。,N4,N3|文法,不能用於明確的時間關係,強調兩個動作的先後順序，前一個先完成 | (〇)八時に起きて、出かけます,❌ 八時に起きてから、出かけます（明確鐘點時間用 て）| 不能用於單純時間點羅列 | 不能用於明確的時間關係,"與 て（單純連接）混淆；鐘點+て 即可，不需 てから | 與 て（單純連接）混淆；鐘點+て 即可，不需 てから | 表示先做前面的動作,然後再做後面的動作   →  句子的重點是動作的順序強調第一個動作一定先完成",,corrected,grammar_teacher_agent,0.95
G0018,(〇)八時に起きて、出かけます,(〇)八時に起きて、出かけます,(〇)八時に起きて、出かけます,(〇)八時に起きて、出かけます,(〇)八時に起きて、出かけますを使います。,(〇)八時に起きて、出かけますを使います。,(〇)八時に起きて、出かけます,N3,N3|文法|助詞,,(〇)八時に起きて、出かけます,不能用於明確的時間關係,"表示先做前面的動作,然後再做後面的動作   →  句子的重點是動作的順序強調第一個動作一定先完成",grammar_point 疑似誤拆（例句/說明文字）; 例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),excluded,teacher_agent,0.5
G0019,彼女に会ってからコーヒーを飲みます,彼女に会ってからコーヒーを飲みます,彼女に会ってからコーヒーを飲みます,彼女に会ってからコーヒーを飲みます,彼女に会ってからコーヒーを飲みますを使います。,彼女に会ってからコーヒーを飲みますを使います。,彼女に会ってからコーヒーを飲みます,N3,N3|文法|助詞,,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0020,てあります / ておきます,已經…好了（結果狀態留存）,Vて + あります,已經…好了（結果狀態留存）,もうチケットは買ってあります。,もうチケットは買ってあります。,票已經買好了。,N3,N3|文法,日 文 筆 記,✅ 某事已做完，狀態現在仍存在 | ✅ 回家發現東西已準備好,❌ 表達「事先為未來準備」→ 用 ておきます,與 ておきます 時間感不同：あります=已完成，おきます=先做好 | 與 ておきます 時間感不同：あります=已完成，おきます=先做好,意思與句型名稱相同，缺少釋義,corrected,grammar_teacher_agent,0.85
G0021,てあります,已經…好了（結果狀態留存）,Vて + あります,已經…好了（結果狀態留存）,もうチケットは買ってあります。,もうチケットは買ってあります。,票已經買好了。,N3,N3|文法,"✅ 為了某個目的,已經買好了 ✅ 結果現在還存在 時間感 🕒「現在之前已完成」 常見情境 回家發現東西已經準備好 說明「狀態」","✅ 某事已做完，狀態現在仍存在 | ✅ 回家發現東西已準備好 | 為了某個目的,已經買好了 | 結果現在還存在",❌ 表達「事先為未來準備」→ 用 ておきます,與 ておきます 時間感不同：あります=已完成，おきます=先做好 | 與 ておきます 時間感不同：あります=已完成，おきます=先做好 | 📌 重點,,corrected,grammar_teacher_agent,0.95
G0022,ておきます,事先…好（為未來做準備）,Vて + おきます,事先…好（為未來做準備）,明日雨が降りそうだから、傘を買っておきます。,明日雨が降りそうだから、傘を買っておきます。,明天可能下雨，我先去買傘。,N3,N3|文法,✅ 現在∕接下來要先做一件事 ✅ 為了未來做準備 時間感 常見情境 臨時想到「先準備一下比較好」 當下的決定,✅ 現在決定先做好，方便之後使用 | ✅ 臨時想到先準備 | 現在∕接下來要先做一件事 | 為了未來做準備,❌ 說明「已經做好且狀態還在」→ 用 てあります,てあります VS ておきます 是 N3 常考對比 | てあります VS ておきます 是 N3 常考對比 | V て  + おく | 📌 重點,,corrected,grammar_teacher_agent,0.95
G0023,てあります  VS  ておきます,てあります  VS  ておきます,てあります  VS  ておきます,てあります  VS  ておきます,てあります  VS  ておきますを使います。,てあります  VS  ておきますを使います。,てあります  VS  ておきます,N3,N3|文法,,"為了某個目的,已經買好了 | 結果現在還存在",,📌 重點,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0024,夕飯の材料は  買ってあります,夕飯の材料は  買ってあります,夕飯の材料は  買ってあります,夕飯の材料は  買ってあります,夕飯の材料は  買ってありますを使います。,夕飯の材料は  買ってありますを使います。,夕飯の材料は  買ってあります,N3,N3|文法|助詞,,"為了某個目的,已經買好了 | 結果現在還存在",,📌 重點,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0025,会議の前に資料を  買っておきます,表示,日 文 筆 記,表示,会議の前に資料を  買っておきますを使います。,会議の前に資料を  買っておきますを使います。,表示,N3,N3|文法|助詞,日 文 筆 記,現在∕接下來要先做一件事 | 為了未來做準備,,V て  + おく | 📌 重點,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0026,"表示甚麼也不做,維持原來的狀態","表示甚麼也不做,維持原來的狀態","表示甚麼也不做,維持原來的狀態","表示甚麼也不做,維持原來的狀態","表示甚麼也不做,維持原來的狀態を使います。","表示甚麼也不做,維持原來的狀態を使います。","表示甚麼也不做,維持原來的狀態",N3,N3|文法,,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0027,まだ ていません,「まだ」以句型「まだ+否定句」表示動作還未完成。「まだ」是「還(沒有)」的意思,日 文 筆 記,「まだ」以句型「まだ+否定句」表示動作還未完成。「まだ」是「還(沒有)」的意思,もう ご飯をたべましたか。いいえ、まだです。まだ、食べていません。 「まだ」のとき「ていません」がセット,もう ご飯をたべましたか。いいえ、まだです。まだ、食べていません。 「まだ」のとき「ていません」がセット,「まだ」以句型「まだ+否定句」表示動作還未完成。「まだ」是「還(沒有)」的意思,N3,N3|文法,日 文 筆 記,,,,,passed,pdf_extract,0.95
G0028,〜てくる,變化從過去一路發展到現在；或朝說話者靠近,Vて + くる,變化從過去一路發展到現在；或朝說話者靠近,寒くなってきましたね。,寒くなってきましたね。,天氣漸漸變冷了呢。,N4,N4|文法|句型,超常見例子 1. 寒くなってきましたね。 天氣漸漸變冷了(到現在已經感覺得到) 2. 日本の生活にも慣れてきました。 已經慢慢習慣日本的生活了。 3. この仕事、だんだん面白くなってきた。 這份工作慢慢變有趣了。 動詞て形+くる 不是移動 是「時間上的接近現在」 和沒有  きました  的差別(超重要)1  なりました 日本語が上手になりました。 結果陳述 像是在說「現在是這樣」,✅ 漸變到現在：慣れてきた、上手になってきた | ✅ 雨が降ってきた（開始下起來）,❌ 單純「來了」的移動義在此不是重點,"なりました（結果）vs なってきました（一路變化過程） | なりました（結果）vs なってきました（一路變化過程） | 不是「來了」👉 某個變化從過去開始,一路發生到「現在」 | 所以用在「學習、成⻑、習慣」超自然",,corrected,grammar_teacher_agent,0.85
G0029,2  なってきました,2  なってきました,2  なってきました,2  なってきました,2  なってきましたを使います。,2  なってきましたを使います。,2  なってきました,N3,N3|文法,,,,"不是「來了」👉 某個變化從過去開始,一路發生到「現在」 | 所以用在「學習、成⻑、習慣」超自然",例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0030,伴隨狀態(描述做  V2 時的樣子),V1 て  / V1 ないで  + V2( 這個句型主要用來描述  「做動作時的伴隨狀態」 或  「二選一的抉擇」。,"伴隨狀態(描述做  V2 時的樣子) 這指的是在進行主要動作  V2 時,是處於  V1 這種狀態或方式。• 肯定的伴隨( V- て): 帶著某種狀態去做某事。    ◦ 例句: しょうゆを  つけて 食べます。    ◦ 意思: 沾著醬油吃。(「沾醬油」是吃的時候的狀態)• 否定的伴隨( V- ないで): 在不做某事的情況下去做某事。    ◦ 例句: しょうゆを  つけないで 食べます。    ◦ 意思: 不沾醬油吃。(「不沾醬油」是吃的時候的狀態) 二選一的抉擇(互斥的動作) 這指的是在兩個互相衝突的選項中,選擇不做  V1 ,而是去執行  V2 。• 用法: V1 ない形  + で, V2 。• 例句: 日曜日は  どこも  行かないで、うちで  ゆっくり  休みます。• 意思: 星期天哪兒都不去,要在門口好好休息。• 解析: 在「出去玩」與「待在家」之間,選擇了後者。 💡 重點整理表 分類 句型結構 語意說明 例子 例子 伴隨 ( 正 ) V1 て -form, V2 處於 V1 的狀態下做 V2 傘をさして  歩きます 撐著傘走路。 伴隨 ( 負 ) V1 ないで , V2 在沒做 V1 的情況下做 V2傘をささないで  歩きます 不撐傘走路(淋雨)。 抉擇 V1 ないで , V2 不做  V1 ,而是改做 V2 エレベーターに乗らないで、階段を使います不搭電梯,走樓梯。 日 文 筆 記",V1 て  / V1 ないで  + V2( 這個句型主要用來描述  「做動作時的伴隨狀態」 或  「二選一的抉擇」。,"伴隨狀態(描述做  V2 時的樣子) 這指的是在進行主要動作  V2 時,是處於  V1 這種狀態或方式。","伴隨狀態(描述做  V2 時的樣子) 這指的是在進行主要動作  V2 時,是處於  V1 這種狀態或方式。",V1 て  / V1 ないで  + V2( 這個句型主要用來描述  「做動作時的伴隨狀態」 或  「二選一的抉擇」。,N3,N3|文法,"伴隨狀態(描述做  V2 時的樣子) 這指的是在進行主要動作  V2 時,是處於  V1 這種狀態或方式。• 肯定的伴隨( V- て): 帶著某種狀態去做某事。    ◦ 例句: しょうゆを  つけて 食べます。    ◦ 意思: 沾著醬油吃。(「沾醬油」是吃的時候的狀態)• 否定的伴隨( V- ないで): 在不做某事的情況下去做某事。    ◦ 例句: しょうゆを  つけないで 食べます。    ◦ 意思: 不沾醬油吃。(「不沾醬油」是吃的時候的狀態) 二選一的抉擇(互斥的動作) 這指的是在兩個互相衝突的選項中,選擇不做  V1 ,而是去執行  V2 。• 用法: V1 ない形  + で, V2 。• 例句: 日曜日は  どこも  行かないで、うちで  ゆっくり  休みます。• 意思: 星期天哪兒都不去,要在門口好好休息。• 解析: 在「出去玩」與「待在家」之間,選擇了後者。 💡 重點整理表 分類 句型結構 語意說明 例子 例子 伴隨 ( 正 ) V1 て -form, V2 處於 V1 的狀態下做 V2 傘をさして  歩きます 撐著傘走路。 伴隨 ( 負 ) V1 ないで , V2 在沒做 V1 的情況下做 V2傘をささないで  歩きます 不撐傘走路(淋雨)。 抉擇 V1 ないで , V2 不做  V1 ,而是改做 V2 エレベーターに乗らないで、階段を使います不搭電梯,走樓梯。 日 文 筆 記",,,重點整理表,grammar_point 疑似誤拆（例句/說明文字）,excluded,grammar_teacher_agent,0.75
G0031,感謝の気持ちが持ています,感謝の気持ちが持ています,感謝の気持ちが持ています,感謝の気持ちが持ています,感謝の気持ちが持ていますを使います。,感謝の気持ちが持ていますを使います。,感謝の気持ちが持ています,N3,N3|文法|助詞,,,,「が」:はじめてそのものを言うときにつかいます。 👉 「そこに犬がいます。」(初めて犬のことを話す) | 「は」:もう知っているもの、二回目からは「は」で話します。 👉 「その犬は白いです。」(もう犬のことを知っている),例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0032,送ります,送ります,送ります,送ります,送りますを使います。,送りますを使います。,送ります,N3,N3|文法,,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0033,てしまいます,てしまいます,てしまいました(完了),てしまいます,私は昨日  本を買いました。おもしろかったですから、朝も昼も晩も読みました。一日で全部読みました。一日で読んでしまいました。,私は昨日  本を買いました。おもしろかったですから、朝も昼も晩も読みました。一日で全部読みました。一日で読んでしまいました。,,N3,N3|文法,てしまいました(完了),,,,意思與句型名稱相同，缺少釋義,flagged,pdf_extract,0.9
G0034,てしまいます(未来完了),てしまいます(未来完了),てしまいます(未来完了),てしまいます(未来完了),てしまいます(未来完了)を使います。,てしまいます(未来完了)を使います。,てしまいます(未来完了),N3,N3|文法,,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0035,ない形=動詞否定普通形,1  不規則(先背),1  不規則(先背),1  不規則(先背),ない形=動詞否定普通形を使います。,ない形=動詞否定普通形を使います。,1  不規則(先背),N3,N3|文法,,,,去る+ない | う段  → あ段+ない | う  → わない,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0036,する  → しない,"2  一段動詞(〜る,前面是い∕え音) 👉 去る+ない","2  一段動詞(〜る,前面是い∕え音) 👉 去る+ない","2  一段動詞(〜る,前面是い∕え音) 👉 去る+ない",する  → しないを使います。,する  → しないを使います。,"2  一段動詞(〜る,前面是い∕え音) 👉 去る+ない",N3,N3|文法,,,,去る+ない | う段  → あ段+ない | う  → わない,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0037,くる  → こない,くる  → こない,くる  → こない,くる  → こない,くる  → こないを使います。,くる  → こないを使います。,くる  → こない,N3,N3|文法,,,,去る+ない | う段  → あ段+ない | う  → わない,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0038,食べる  → 食べない,3  五段動詞(其他全部) 👉 う段  → あ段+ない,3  五段動詞(其他全部) 👉 う段  → あ段+ない,3  五段動詞(其他全部) 👉 う段  → あ段+ない,食べる  → 食べないを使います。,食べる  → 食べないを使います。,3  五段動詞(其他全部) 👉 う段  → あ段+ない,N3,N3|文法,,,,去る+ない | う段  → あ段+ない | う  → わない,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0039,見る  → 見ない,見る  → 見ない,見る  → 見ない,見る  → 見ない,見る  → 見ないを使います。,見る  → 見ないを使います。,見る  → 見ない,N3,N3|文法,,,,去る+ない | う段  → あ段+ない | う  → わない,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0040,⚠ う  → わない,⚠ う  → わない,⚠ う  → わない,⚠ う  → わない,⚠ う  → わないを使います。,⚠ う  → わないを使います。,⚠ う  → わない,N3,N3|文法,,,,去る+ない | う段  → あ段+ない | う  → わない,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0041,う く ぐ す つ ぬ ぶ む,例:,例:,例:,う く ぐ す つ ぬ ぶ むを使います。,う く ぐ す つ ぬ ぶ むを使います。,例:,N3,N3|文法,,,,去る+ない | う段  → あ段+ない | う  → わない,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0042,わ か が さ た な ば ま,わ か が さ た な ば ま,わ か が さ た な ば ま,わ か が さ た な ば ま,わ か が さ た な ば まを使います。,わ か が さ た な ば まを使います。,わ か が さ た な ば ま,N3,N3|文法|助詞,,,,去る+ない | う段  → あ段+ない | う  → わない,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0043,行く  → 行かない,行く  → 行かない,行く  → 行かない,行く  → 行かない,行く  → 行かないを使います。,行く  → 行かないを使います。,行く  → 行かない,N3,N3|文法,,,,去る+ない | う段  → あ段+ない | う  → わない,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0044,読む  → 読まない,日 文 筆 記,日 文 筆 記,日 文 筆 記,読む  → 読まないを使います。,読む  → 読まないを使います。,日 文 筆 記,N3,N3|文法,,,,去る+ない | う段  → あ段+ない | う  → わない,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0045,買う  → 買わない,買う  → 買わない,買う  → 買わない,買う  → 買わない,買う  → 買わないを使います。,買う  → 買わないを使います。,買う  → 買わない,N3,N3|文法,,,,去る+ない | う段  → あ段+ない | う  → わない,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0046,ないでください,請不要…（禮貌禁止）,Vない + でください,請不要…（禮貌禁止）,ここでタバコを吸わないでください。,ここでタバコを吸わないでください。,請不要在這裡吸煙。,N4,N3|文法|助詞,,禮貌地要求對方不要做某事,"對自己用 → ないでください 不自然；正式禁止用 てはいけません | 要求對方不要做某事,翻譯為不要",與 なくてもいい（不必）搞反 | 與 なくてもいい（不必）搞反,,corrected,grammar_teacher_agent,0.93
G0047,なければなりません(ならない) /  なければいけません(いけない) /  なきゃ,"表示必須做某事,翻譯為必須","這句型表示無論自己的意願或希望如何, 也必須要這樣做。","表示必須做某事,翻譯為必須",この薬を毎日のまねければならない,この薬を毎日のまねければならない,"表示必須做某事,翻譯為必須",N3,N3|文法,"這句型表示無論自己的意願或希望如何, 也必須要這樣做。",,"要求對方不要做某事,翻譯為不要",,,passed,pdf_extract,0.95
G0048,なくてもいい,不必…；不…也可以,Vない + くてもいい,不必…；不…也可以,靴を脱がなくてもいいです。,靴を脱がなくてもいいです。,不脱鞋也可以。,N4,N3|文法|助詞,日 文 筆 記,表示沒有必要做某事，許可對方不做,"表達「必須」→ 用 なければなりません | 要求對方不要做某事,翻譯為不要",與 ないでください（請不要）意思完全不同 | 與 ないでください（請不要）意思完全不同,,corrected,grammar_teacher_agent,0.95
G0049,"被問到「有沒有某種經驗」時,日文常用  V- たことがある∕ない 來回答",用法:V- たことがあります,沒有經驗(沒做過) 用法一(較口語):V- たことがないです 用法二(較正式∕禮貌):V- たことがありません 會話中常見省略,用法:V- たことがあります,日本へ行ったことがあります,日本へ行ったことがあります,去過日本,N3,N3|文法|助詞,沒有經驗(沒做過) 用法一(較口語):V- たことがないです 用法二(較正式∕禮貌):V- たことがありません 會話中常見省略,「が」一樣可以省略,,,,passed,pdf_extract,0.95
G0050,口語會說成:V- たことあります,普通體(非禮貌體)用法,形式:V- たこと(が)ある 「が」一樣可以省略 日 文 筆 記,普通體(非禮貌體)用法,口語會說成:V- たことありますを使います。,口語會說成:V- たことありますを使います。,普通體(非禮貌體)用法,N3,N3|文法|助詞,形式:V- たこと(が)ある 「が」一樣可以省略 日 文 筆 記,「が」一樣可以省略,,,grammar_point 疑似誤拆（例句/說明文字）; 例句為模板佔位，非真實例句,excluded,teacher_agent,0.6
G0051,~ たり〜たり,列舉幾個代表性動作（不等於全部）,Vた + り、Vた + り + する,列舉幾個代表性動作（不等於全部）,週末は買い物をしたり、映画を見たりします。,週末は買い物をしたり、映画を見たりします。,週末又逛街又看電影之類的。,N4,N3|文法|句型,週末は買い物をしたり、映画を見たりしました,✅ 舉例說明習慣、放假常做的事 | ✅ 有「有時…有時…」語感,❌ 只有兩個動作且強調順序/因果 → 用 て形連接 | 【違い】〜て〜て（ONLY 2） | 【違い】〜て〜て( ONLY 2 ),たり只是列舉例子，不是全部活動；常接 します | たり只是列舉例子，不是全部活動；常接 します | 〜たり〜たり〜👉「列舉幾個例子(不等於全部)」用法,,corrected,grammar_teacher_agent,0.85
G0052,語感重點,表示「這樣做、那樣做」,V て  + 、 V て  + ...,表示「這樣做、那樣做」,例句,例句,表示「這樣做、那樣做」,N3,N3|文法,"動作不是固定順序 常有「有時〜有時〜」的感覺 週末は 👉 映画を見たり、友だちとご飯を食べたりします。 (週末會看看電影、跟朋友吃飯等等) 雨の日は 👉 家で本を読んだり、寝たりします。 (下雨天會看看書、睡睡覺之類的) 🔹 〜て〜て〜👉「動作的連續  / 原因結果  / 同時狀態」用法 語感重點(超重要) 有順序 或是前面是原因,後面是結果 或是同時發生的狀態",是否全部動作 ❌ 只是舉例 ✅ 全部動作 | 是否有順序 ❌ 沒順序 ✅ 有,,語感重點 | 映画を見たり、友だちとご飯を食べたりします。 | 家で本を読んだり、寝たりします。 | 〜て〜て〜👉「動作的連續  / 原因結果  / 同時狀態」用法 | 語感重點(超重要),,passed,pdf_extract,0.95
